medallion,hack_license,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance
2010000102,2010000102,CMT,1/1/2010 0:01,1/1/2010 0:08,1,6.87,2.3
2010000103,2010000103,CMT,1/1/2010 0:01,1/1/2010 0:18,1,16.97,5.3
2010000104,2010000104,CMT,1/1/2010 0:01,1/1/2010 0:07,1,5.92,1.6
2010000105,2010000105,CMT,1/1/2010 0:01,1/1/2010 0:06,2,5.45,0.7
2010000106,2010000106,CMT,1/1/2010 0:01,1/1/2010 0:08,1,7.52,1
2010000107,2010000107,VTS,1/1/2010 0:01,1/1/2010 0:01,1,0,0.61
2010000108,2010000108,CMT,1/1/2010 0:01,1/1/2010 0:28,1,27.53,15.4
2010000109,2010000109,DDS,1/1/2010 0:01,1/1/2010 0:16,2,15.03,2.4
2010000110,2010000110,CMT,1/1/2010 0:01,1/1/2010 0:22,1,20.72,7.1
2010000111,2010000111,CMT,1/1/2010 0:01,1/1/2010 0:22,4,20.83,6.3
2010000112,2010000112,CMT,1/1/2010 0:01,1/1/2010 0:05,4,3.65,0.8
2010000113,2010000113,CMT,1/1/2010 0:01,1/1/2010 0:04,1,2.73,0.8
2010000114,2010000114,CMT,1/1/2010 0:01,1/1/2010 0:13,1,11.92,3.6
2010000115,2010000115,CMT,1/1/2010 0:01,1/1/2010 0:10,2,8.83,5.1
2010000116,2010000116,CMT,1/1/2010 0:01,1/1/2010 0:09,1,8.45,1.8
2010000117,2010000117,CMT,1/1/2010 0:01,1/1/2010 0:06,1,4.78,1.1
2010000118,2010000118,CMT,1/1/2010 0:01,1/1/2010 0:17,1,15.6,3.9
2010000119,2010000119,CMT,1/1/2010 0:01,1/1/2010 0:06,2,4.73,0.9
2010000120,2010000120,CMT,1/1/2010 0:01,1/1/2010 0:12,4,11.02,2.5
2010000121,2010000121,CMT,1/1/2010 0:01,1/1/2010 0:16,4,14.73,3.7
2010000122,2010000122,CMT,1/1/2010 0:01,1/1/2010 0:10,1,9.12,2.2
2010000123,2010000123,CMT,1/1/2010 0:01,1/1/2010 0:07,3,5.55,1
2010000124,2010000124,VTS,1/1/2010 0:01,1/1/2010 0:01,1,0,0.02
2010000125,2010000125,CMT,1/1/2010 0:01,1/1/2010 0:22,1,21.4,6.2
2010000126,2010000126,CMT,1/1/2010 0:01,1/1/2010 0:06,1,4.67,1.7
2010000127,2010000127,CMT,1/1/2010 0:01,1/1/2010 0:06,1,4.98,1.3
2010000128,2010000128,CMT,1/1/2010 0:01,1/1/2010 0:24,1,23.23,12.2
2010000129,2010000129,DDS,1/1/2010 0:01,1/1/2010 0:02,1,0.56,2
